5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01	5.000000000000000000e-01
9.999998807907104492e-01	2.495489925813387799e-11	5.548481345176696777e-01	6.606484803661771821e-11	2.506339927266232337e-11	4.445714907319597842e-10	6.400032587228210446e-11	6.488512505065102687e-11
6.311552669391318204e-11	9.999998807907104492e-01	6.341045744040485488e-11	7.572529270305494720e-09	3.011216831438900954e-09	5.623784065246582031e-01	2.898497442060943285e-09	1.667555399320619358e-10
4.445714907319597842e-10	1.683589656575890103e-10	6.311552669391318204e-11	6.429525661877377729e-11	9.999998807907104492e-01	9.999988675117492676e-01	6.341045744040485488e-11	4.358543803650860582e-10
6.429525661877377729e-11	1.683589656575890103e-10	7.660073464421657263e-09	4.271372977537879478e-10	9.999988675117492676e-01	9.999998807907104492e-01	1.643504082826652279e-10	2.473789922907698724e-11
1.643504082826652279e-10	4.542835652828216553e-01	9.999998807907104492e-01	1.651521280843226691e-10	4.423922062013474488e-10	6.370539512579043162e-11	4.336751235900493384e-10	1.143308003825893593e-09
6.370539512579043162e-11	6.282059594742150921e-11	6.282059594742150921e-11	9.999988675117492676e-01	9.999998807907104492e-01	9.999998807907104492e-01	2.449736595153808594e-01	6.576991729012604537e-11
1.939442562104432000e-08	9.999988675117492676e-01	2.930703013603874751e-09	7.835160964475562650e-09	4.380336648956983936e-10	9.999998807907104492e-01	4.848484694957733154e-01	6.400032587228210446e-11
9.999998807907104492e-01	9.999998807907104492e-01	9.999998807907104492e-01	2.962908363102201292e-09	4.314958390594370030e-10	6.635978572200329495e-11	6.252566520092983637e-11	6.429525661877377729e-11
4.402129216707351134e-10	1.143308003825893593e-09	2.946805688353038022e-09	9.999998807907104492e-01	2.962908363102201292e-09	1.143308003825893593e-09	9.999988675117492676e-01	1.137384075811098683e-09
9.999998807907104492e-01	4.883832716018332576e-08	4.445714907319597842e-10	1.651521280843226691e-10	2.495489925813387799e-11	6.665471646849496778e-11	6.252566520092983637e-11	9.999988675117492676e-01
1.659538340081923025e-10	1.868052201814407454e-08	6.282059594742150921e-11	3.901115953922271729e-01	6.429525661877377729e-11	2.022731671047495183e-08	6.311552669391318204e-11	6.282059594742150921e-11
4.636868536472320557e-01	2.517189755246729277e-11	2.930703013603874751e-09	7.791388867417481379e-09	4.336751235900493384e-10	6.282059594742150921e-11	6.694964721498664062e-11	1.691606715814586437e-10
9.999998807907104492e-01	7.346281409263610840e-01	2.995113934645132758e-09	4.883832716018332576e-08	6.022948026657104492e-01	7.747616770359400107e-09	1.125536330803811325e-09	2.946805688353038022e-09
6.665471646849496778e-11	1.691606715814586437e-10	1.257228916529129492e-07	1.868052201814407454e-08	9.999998807907104492e-01	4.402129216707351134e-10	6.400032587228210446e-11	2.760879099369049072e-01
9.999998807907104492e-01	1.651521280843226691e-10	6.488512505065102687e-11	6.341045744040485488e-11	2.010833100030140486e-08	6.606484803661771821e-11	1.143308003825893593e-09	9.999998807907104492e-01
