4.628906250000000000e-01	9.338378906250000000e-03	9.492187500000000000e-01	2.519531250000000000e-01	6.599426269531250000e-04	8.320312500000000000e-01	1.007080078125000000e-03	7.763671875000000000e-02
9.804687500000000000e-01	0.000000000000000000e+00	9.453125000000000000e-01	3.223419189453125000e-04	0.000000000000000000e+00	4.511718750000000000e-01	1.933593750000000000e-01	8.867187500000000000e-01
9.155273437500000000e-03	9.726562500000000000e-01	0.000000000000000000e+00	9.882812500000000000e-01	5.625000000000000000e-01	9.921875000000000000e-01	4.726562500000000000e-01	1.239013671875000000e-02
9.101562500000000000e-01	1.640625000000000000e-01	2.089843750000000000e-01	0.000000000000000000e+00	9.570312500000000000e-01	9.843750000000000000e-01	1.092529296875000000e-02	9.492187500000000000e-01
8.984375000000000000e-01	1.159667968750000000e-02	5.234375000000000000e-01	9.843750000000000000e-01	9.570312500000000000e-01	9.687500000000000000e-01	8.007812500000000000e-01	1.972656250000000000e-01
4.238281250000000000e-01	7.343750000000000000e-01	1.000000000000000000e+00	6.523437500000000000e-01	8.710937500000000000e-01	7.539062500000000000e-01	1.000000000000000000e+00	9.179687500000000000e-01
1.000000000000000000e+00	9.140625000000000000e-01	3.799438476562500000e-03	9.101562500000000000e-01	6.210937500000000000e-01	9.921875000000000000e-01	1.000000000000000000e+00	8.984375000000000000e-01
1.000000000000000000e+00	8.281250000000000000e-01	8.398437500000000000e-01	1.000000000000000000e+00	5.820312500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	8.203125000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.484375000000000000e-01	8.476562500000000000e-01	1.000000000000000000e+00	7.539062500000000000e-01	1.000000000000000000e+00
9.257812500000000000e-01	9.492187500000000000e-01	9.726562500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01	9.765625000000000000e-01	9.921875000000000000e-01	9.882812500000000000e-01
1.000000000000000000e+00	9.335937500000000000e-01	7.031250000000000000e-01	9.218750000000000000e-01	8.437500000000000000e-01	8.320312500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
8.437500000000000000e-01	1.000000000000000000e+00	8.476562500000000000e-01	9.765625000000000000e-01	9.609375000000000000e-01	8.984375000000000000e-01	7.265625000000000000e-01	9.843750000000000000e-01
9.960937500000000000e-01	5.507812500000000000e-01	7.929687500000000000e-01	8.906250000000000000e-01	8.632812500000000000e-01	1.000000000000000000e+00	5.820312500000000000e-01	8.242187500000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.570312500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.960937500000000000e-01
9.023437500000000000e-01	9.765625000000000000e-01	8.710937500000000000e-01	1.000000000000000000e+00	9.492187500000000000e-01	1.000000000000000000e+00	8.437500000000000000e-01	1.000000000000000000e+00
1.000000000000000000e+00	9.921875000000000000e-01	1.000000000000000000e+00	7.617187500000000000e-01	1.000000000000000000e+00	8.593750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000000e+00	9.687500000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.335937500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	8.710937500000000000e-01
9.531250000000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01	8.437500000000000000e-01	8.437500000000000000e-01	9.648437500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
8.007812500000000000e-01	1.000000000000000000e+00	9.414062500000000000e-01	1.000000000000000000e+00	9.687500000000000000e-01	9.765625000000000000e-01	7.578125000000000000e-01	9.921875000000000000e-01
9.960937500000000000e-01	8.164062500000000000e-01	9.609375000000000000e-01	9.414062500000000000e-01	8.349609375000000000e-02	9.882812500000000000e-01	6.953125000000000000e-01	8.906250000000000000e-01
9.960937500000000000e-01	8.242187500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01	1.000000000000000000e+00	9.921875000000000000e-01	1.000000000000000000e+00	6.015625000000000000e-01
9.609375000000000000e-01	7.890625000000000000e-01	9.453125000000000000e-01	1.000000000000000000e+00	6.992187500000000000e-01	9.179687500000000000e-01	8.632812500000000000e-01	9.453125000000000000e-01
9.726562500000000000e-01	9.414062500000000000e-01	8.906250000000000000e-01	9.960937500000000000e-01	8.789062500000000000e-01	9.648437500000000000e-01	8.710937500000000000e-01	9.648437500000000000e-01
9.531250000000000000e-01	1.000000000000000000e+00	1.086425781250000000e-02	9.687500000000000000e-01	6.210937500000000000e-01	9.843750000000000000e-01	9.960937500000000000e-01	7.734375000000000000e-01
